ลำดับ,เลขทะเบียนเดิม,FID,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงานรวม,แรงม้า
1,3-101-1/38,1.01023E+13,บริษัท โอสถสภา จำกัด (มหาชน),บริษัท โอสถสภา จำกัด (มหาชน),"บำบัดน้ำทิ้งรวม ได้ 4,800 ลูกบาศก์เมตร/วัน",เลขที่ 348,,,รามคำแหง,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10240,3511123-24,20000000,5,270.68
2,3-101-1/40,1.01033E+13,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",เลขที่ 48,9,-,สุวินทวงศ์,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510,989-4050-62,43100000,10,356
3,3-101-1/45,1.01031E+13,บริษัท มหาจักรออโตพาร์ท จำกัด,บริษัท มหาจักรออโตพาร์ท จำกัด,ปรับคุณภาพน้ำเสียรวม,เลขที่ 67/16,5,-,เชื่อมสัมพันธ์,โคกแฝด,หนองจอก,กรุงเทพมหานคร,10530,02-543-1212,0,6,109.4
4,3-101-1/47,1.01011E+13,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),ปรับคุณภาพของเสียรวม,เลขที่ 68/39,3,แสมดำ 17,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,,127500000,23,862.2
5,3-101-2/38,1.01033E+13,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),เลขที่ 68/39,3,วัดแสมดำ,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,4153728,5000000,82,439
6,3-101-4/41,1.01011E+13,บริษัท อาหารยอดคุณ จำกัด,บริษัท อาหารยอดคุณ จำกัด,บำบัดน้ำเสียจากกระบวนการผลิต รวมทั้งกำจัดของเสียอื่นๆ ของบริษัท อาหารยอดคุณ จำกัด และบริษัท ยูนิแชมป์ จำกัด,เลขที่ 9,,,นิมิตใหม่,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510,02-181-0039-45,8035000,1,83.05
7,3-105-107/59,1.01E+13,บริษัท เปเปอร์ แพคกิ้ง จำกัด,บริษัท เปเปอร์ แพคกิ้ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 11,,เอกชัย 114 (อมรพฤกษ์),,บางบอน,บางบอน,กรุงเทพมหานคร,10150,,5500000,13,191
8,3-105-11/59,1.01001E+13,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 286,,,มาเจริญ,หนองแขม,หนองแขม,กรุงเทพมหานคร,10160,818031474,6000000,25,167.25
9,3-105-119/48,1.01002E+13,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,เลขที่ 51,,แสนสบาย,-,คลองตัน,คลองเตย,กรุงเทพมหานคร,10110,,13200000,20,130
10,3-105-13/49,1.01002E+13,นายสิทธิธรรม เรืองจรุงพงศ์ ,นายสิทธิธรรม เรืองจรุงพงศ์ ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548,เลขที่ 98,,,เลียบคลองมอญ,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,10520,,53000000,20,349.22
11,3-105-13/60,1.01002E+13,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 101,,,,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10120,,120000000,40,371
12,3-105-14/59,1.01001E+13,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 547,,,พระราม2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,0 2452 2824,78000000,8,1053
13,3-105-15/62,1.01001E+13,กิจถาวร,นางสาวชฎาพร ฉัตรเจริญสุข,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 1/24,3,,,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,818078803,18500000,8,170
14,3-105-17/62,1.01001E+13,นายสหสีห์ ชิตานนท์,นายสหสีห์ ชิตานนท์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 20100,,,,ทับช้าง,สะพานสูง,กรุงเทพมหานคร,10240,063-895-4641,20890000,10,180
15,3-105-19/62,1.01001E+13,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,บริษัท นันฟาน เทคโนโลยี 2000 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 12,,,พรหมราษฎร์,บางบอนใต้,บางบอน,กรุงเทพมหานคร,10150,,3600000,30,435
16,3-105-20/59,1.01001E+13,บริษัท จ.ทวีโชค จำกัด,บริษัท จ.ทวีโชค จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 518/29,,รามคำแหง 39(เทพลีลา1),,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,10310,29348025,16500000,14,815
17,3-105-20/60,1.01001E+13,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 117,7,,,สายไหม,สายไหม ,กรุงเทพมหานคร,10270,,31600000,8,375
18,3-105-20/62,1.01001E+13,ห้างหุ้นส่วนจำกัด ยิ่งยงกระดาษ,ห้างหุ้นส่วนจำกัด ยิ่งยงกระดาษ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 137798,,,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,852154299,41000000,15,760
19,3-105-22/59,1.01001E+13,บริษัท กวงเซ่งหลี จำกัด,บริษัท กวงเซ่งหลี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 88/71-72,3,กำนันแม้น,เอกชัย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,,5000000,14,585
20,3-105-28/62,1.01001E+13,บริษัท หม่าหลง เทรดดิ้ง จำกัด ,บริษัท หม่าหลง เทรดดิ้ง จำกัด ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,เลขที่ 7,,เอกชัย 114 (อมรพฤกษ์),,บางบอนเหนือ,บางบอน,กรุงเทพมหานคร,10150,,11000000,10,204
21,3-105-29/63,1.01001E+13,บริษัท รุ่งโรจน์ส่องแสง จำกัด,บริษัท รุ่งโรจน์ส่องแสง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 1/3,,อนามัยงามเจริญ 33 แยก 2,,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,24179407,16000000,21,750
22,3-105-3/60,1.01005E+13,บริษัท คูซุ่นฮวด จำกัด,บริษัท คูซุ่นฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 60/50,3,,เสรีไทย,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,10240,,1900000,7,234
23,3-105-3/62,1.01E+13,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด,บริษัท ชลธาร เอ็นเตอร์ไพรส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 6/3,5,,,โคกแฝด,หนองจอก,กรุงเทพมหานคร,10530,085-3215626,2300000,6,138
24,3-105-30/60,1.01001E+13,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 30/12,11,เฉลิมพระเกียรติ 30,เฉลิมพระเกียรติ ,ดอกไม้,ประเวศ,กรุงเทพมหานคร,10250,,7000000,7,52.5
25,3-105-32/54,1.01E+13,ศรีนคร,นายอำพล ประสพศิริ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 12/239,7,เทียนทะเล 24,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,,8500000,7,129
26,3-105-39/59,1.01001E+13,บริษัท เอ็มบอส กรุ๊ป จำกัด,บริษัท เอ็มบอส กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 549,,,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,02-0489980,29000000,6,91
27,3-105-4/60,1.01004E+13,บริษัท เจดีย์ไทย สตีล จำกัด,บริษัท เจดีย์ไทย สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 249,,,บางบอน 4,บางบอน,บางบอน,กรุงเทพมหานคร,10150,,115000000,32,954
28,3-105-48/59,1.01E+13,ธวัช รีไซเคิล,นายธวัช ไกรรักษ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 743/7,,เสือใหญ่อุทิศ,รัชดาภิเษก,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,29300668,12900000,10,228.5
29,3-105-49/59,1.01E+13,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 19,,เทียนทะเล 30,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,28972394,27000000,21,295
