,เงินทุนรวม,คนงานรวม,แรงม้า
0,20000000.0,5.0,270.68
2,8035000.0,1.0,83.05
3,5500000.0,13.0,191.0
4,6000000.0,25.0,167.25
5,13200000.0,20.0,130.0
6,18500000.0,8.0,170.0
7,20890000.0,10.0,180.0
9,5000000.0,14.0,585.0
10,11000000.0,10.0,204.0
11,1900000.0,7.0,234.0
12,2300000.0,6.0,138.0
13,7000000.0,7.0,52.5
14,8500000.0,7.0,129.0
15,29000000.0,6.0,91.0
16,12900000.0,10.0,228.5
17,27000000.0,21.0,295.0
18,2000000.0,2.0,485.0
19,12300000.0,9.0,426.5
20,12198000.0,4.0,98.0
21,20000000.0,17.0,589.0
22,9000000.0,14.0,300.0
23,14500000.0,5.0,100.0
24,14500000.0,14.0,660.0
25,13000000.0,10.0,255.0
26,8700000.0,7.0,55.5
27,22500000.0,15.0,283.0
28,7000000.0,7.0,119.0
29,5000000.0,10.0,61.0
30,17556000.0,8.0,191.0
31,24000000.0,8.0,655.12
32,1000000.0,12.0,90.0
33,13000000.0,15.0,577.4
34,1500000.0,18.0,60.0
35,12250000.0,13.0,576.05
36,7000000.0,10.0,673.0
37,3500000.0,18.0,55.5
38,18000000.0,20.0,357.0
39,4960000.0,20.0,123.0
40,19900000.0,25.0,455.0
42,10000000.0,7.0,280.0
43,9224000.0,14.0,280.0
44,15725000.0,12.0,85.0
45,5000000.0,5.0,137.0
46,1300000.0,7.0,51.0
47,8500000.0,6.0,280.0
48,5098000.0,5.0,352.11
49,10000000.0,7.0,196.0
50,3000000.0,22.0,270.0
51,3100000.0,20.0,229.0
52,16000000.0,8.0,260.0
53,21000000.0,12.0,498.0
54,14500000.0,10.0,217.0
55,6500000.0,10.0,92.5
56,13000000.0,12.0,498.0
57,17000000.0,20.0,367.0
58,11300000.0,14.0,213.16
59,9335000.0,10.0,200.0
60,24500000.0,7.0,233.0
61,17000000.0,20.0,367.0
62,1000000.0,4.0,120.0
63,6600000.0,8.0,253.0
64,17000000.0,20.0,367.0
65,8000000.0,4.0,120.0
66,1600000.0,3.0,340.0
67,4050000.0,12.0,133.0
69,9750000.0,5.0,230.0
70,11000000.0,17.0,172.0
71,8048000.0,10.0,184.0
72,18500000.0,5.0,91.0
73,6000000.0,7.0,392.5
74,3840000.0,12.0,119.0
75,11000000.0,7.0,312.0
76,20000000.0,12.0,455.0
77,3500000.0,9.0,120.0
78,11000000.0,10.0,350.0
79,30000000.0,18.0,290.0
80,5500000.0,11.0,90.0
81,750000.0,8.0,287.0
82,23000000.0,25.0,240.0
83,12000000.0,20.0,420.0
84,28000000.0,4.0,296.0
86,5500000.0,8.0,449.0
87,20000000.0,13.0,420.0
88,8500000.0,5.0,124.0
