,เงินทุนรวม,คนงานรวม,แรงม้า
0,20000000.0,5.0,270.68
1,43100000.0,10.0,356.0
2,8035000.0,1.0,83.05
3,5500000.0,13.0,191.0
4,6000000.0,25.0,167.25
5,13200000.0,20.0,130.0
6,18500000.0,8.0,170.0
7,20890000.0,10.0,180.0
9,31600000.0,8.0,375.0
11,5000000.0,14.0,585.0
12,11000000.0,10.0,204.0
14,1900000.0,7.0,234.0
15,2300000.0,6.0,138.0
16,7000000.0,7.0,52.5
17,8500000.0,7.0,129.0
18,29000000.0,6.0,91.0
19,12900000.0,10.0,228.5
20,27000000.0,21.0,295.0
22,2000000.0,2.0,485.0
23,12300000.0,9.0,426.5
24,12198000.0,4.0,98.0
25,20000000.0,17.0,589.0
26,9000000.0,14.0,300.0
27,14500000.0,5.0,100.0
28,14500000.0,14.0,660.0
29,13000000.0,10.0,255.0
30,8700000.0,7.0,55.5
32,22500000.0,15.0,283.0
33,7000000.0,7.0,119.0
34,5000000.0,10.0,61.0
35,17556000.0,8.0,191.0
36,24000000.0,8.0,655.12
37,1000000.0,12.0,90.0
38,13000000.0,15.0,577.4
39,1500000.0,18.0,60.0
40,12250000.0,13.0,576.05
41,7000000.0,10.0,673.0
42,3500000.0,18.0,55.5
43,18000000.0,20.0,357.0
44,4960000.0,20.0,123.0
45,19900000.0,25.0,455.0
46,43500000.0,20.0,60.0
47,10000000.0,7.0,280.0
48,9224000.0,14.0,280.0
49,15725000.0,12.0,85.0
50,5000000.0,5.0,137.0
51,1300000.0,7.0,51.0
52,8500000.0,6.0,280.0
53,5098000.0,5.0,352.11
54,10000000.0,7.0,196.0
55,3000000.0,22.0,270.0
56,3100000.0,20.0,229.0
57,16000000.0,8.0,260.0
58,21000000.0,12.0,498.0
59,14500000.0,10.0,217.0
60,6500000.0,10.0,92.5
61,13000000.0,12.0,498.0
62,17000000.0,20.0,367.0
63,11300000.0,14.0,213.16
64,9335000.0,10.0,200.0
65,24500000.0,7.0,233.0
66,17000000.0,20.0,367.0
67,1000000.0,4.0,120.0
68,6600000.0,8.0,253.0
69,17000000.0,20.0,367.0
70,8000000.0,4.0,120.0
