,เงินทุนรวม,คนงานรวม,แรงม้า
0,20000000.0,5.0,270.68
1,43100000.0,10.0,356.0
2,8035000.0,1.0,83.05
3,5500000.0,13.0,191.0
4,6000000.0,25.0,167.25
5,13200000.0,20.0,130.0
6,18500000.0,8.0,170.0
7,20890000.0,10.0,180.0
9,16500000.0,14.0,815.0
10,31600000.0,8.0,375.0
11,41000000.0,15.0,760.0
12,5000000.0,14.0,585.0
13,11000000.0,10.0,204.0
14,16000000.0,21.0,750.0
15,1900000.0,7.0,234.0
16,2300000.0,6.0,138.0
17,7000000.0,7.0,52.5
18,8500000.0,7.0,129.0
19,29000000.0,6.0,91.0
20,12900000.0,10.0,228.5
21,27000000.0,21.0,295.0
22,13000000.0,14.0,766.34
23,2000000.0,2.0,485.0
24,12300000.0,9.0,426.5
25,12198000.0,4.0,98.0
27,20000000.0,17.0,589.0
28,9000000.0,14.0,300.0
29,14500000.0,5.0,100.0
31,14500000.0,14.0,660.0
32,13000000.0,10.0,255.0
33,8700000.0,7.0,55.5
34,2700000.0,15.0,836.5
35,22500000.0,15.0,283.0
36,7000000.0,7.0,119.0
37,5000000.0,10.0,61.0
38,17556000.0,8.0,191.0
39,24000000.0,8.0,655.12
40,1000000.0,12.0,90.0
41,13000000.0,15.0,577.4
42,1500000.0,18.0,60.0
43,12250000.0,13.0,576.05
44,7000000.0,10.0,673.0
45,3500000.0,18.0,55.5
48,18000000.0,20.0,357.0
49,4960000.0,20.0,123.0
51,19900000.0,25.0,455.0
52,43500000.0,20.0,60.0
53,10000000.0,7.0,280.0
55,9224000.0,14.0,280.0
56,15725000.0,12.0,85.0
57,5000000.0,5.0,137.0
58,1300000.0,7.0,51.0
59,8500000.0,6.0,280.0
60,5098000.0,5.0,352.11
62,10000000.0,7.0,196.0
63,3000000.0,22.0,270.0
65,3100000.0,20.0,229.0
66,16000000.0,8.0,260.0
67,21000000.0,12.0,498.0
68,14500000.0,10.0,217.0
69,6500000.0,10.0,92.5
70,13000000.0,12.0,498.0
71,17000000.0,20.0,367.0
72,11300000.0,14.0,213.16
73,9335000.0,10.0,200.0
74,24500000.0,7.0,233.0
